,,"Ministério da Educação
Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Taxa de Evasão de Alunos no Sistema de Educação Superior (Graduação) - Brasil - 2010/2024,,,,,,,,,,,,,,,,,,
"Taxa de Evasão de Alunos no Sistema de Educação Superior em Cursos de Graduação calculados a partir do Acompanhamento Longitudinal de Dois Anos Subsequentes, organizados pelos Atributos do Aluno",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ano Fluxo,Total,Sexo,,Cor-Raça,,,,,,Faixa de Idade,,,,,,,Deficiência,
,,Feminino,Masculino,Amarela,Branca,Indígena,Parda,Preta,Sem Declaração 1,Até 19 anos,20 a 22 anos,23 e 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 anos ou mais,Sim,Não
,,,,,,,,,,,,,,,,,,
2010-2011,"11,3","10,5","12,3","8,8","9,9","10,5","9,8","10,3","12,0","6,3","7,9","11,2","14,0","14,9","14,5","15,6","10,3","11,3"
2011-2012,"11,1","10,3","12,1","10,0","9,3","12,0","11,0","11,3","11,6","6,5","7,9","11,2","13,7","14,3","13,8","14,2","10,6","11,1"
2012-2013,"11,6","10,8","12,7","11,1","11,3","14,7","12,0","11,3","11,7","6,9","8,2","11,4","14,3","15,1","14,9","15,8","10,4","11,6"
2013-2014,"11,5","10,7","12,5","9,9","9,1","12,3","10,2","9,9","12,8","6,6","8,1","11,4","14,2","15,0","14,5","15,1","15,4","11,5"
2014-2015,"11,8","11,0","12,7","8,7","9,0","10,4","11,2","9,7","14,1","6,8","8,2","11,2","14,3","15,4","15,3","16,2","11,5","11,8"
2015-2016,"13,4","12,3","14,8","11,4","11,5","12,6","12,7","11,9","16,0","7,0","8,9","12,6","16,8","18,4","18,2","19,0","11,4","13,4"
2016-2017,"12,2","11,3","13,3","10,3","10,1","13,6","11,8","11,2","15,3","6,9","8,5","11,7","14,9","16,3","16,3","17,1","11,5","12,2"
2017-2018,"13,6","12,8","14,5","12,4","11,5","13,6","13,4","12,9","17,2","7,5","9,0","12,7","16,4","18,7","19,3","20,2","12,8","13,6"
2018-2019,"14,1","13,1","15,3","13,8","12,4","17,3","14,0","13,7","17,4","7,8","9,5","13,6","17,5","19,0","18,8","19,1","12,7","14,1"
2019-2020,"12,9","12,1","14,0","12,1","11,5","13,8","13,2","12,5","15,8","8,7","9,5","12,3","15,3","16,3","16,0","16,2","11,9","12,9"
2020-2021,"13,5","12,8","14,4","12,9","11,9","14,0","13,3","12,1","17,8","9,2","9,8","12,8","16,0","16,6","16,1","16,4","12,4","13,5"
2021-2022,"15,8","15,2","16,6","14,1","16,1","17,8","15,2","14,9","16,5","9,3","10,7","14,1","18,4","20,1","19,9","20,7","14,0","15,8"
2022-2023,"16,0","15,6","16,7","15,2","14,5","16,6","15,0","15,8","20,2","9,3","10,7","14,4","18,8","20,3","19,8","20,3","16,0","16,0"
2023-2024,"17,5","17,0","18,1","16,1","16,8","16,6","16,7","16,7","20,6","9,4","11,0","15,3","20,3","22,5","22,3","23,4","13,5","17,5"
,,,,,,,,,,,,,,,,,,
Fonte: Censo da Educação Superior - Inep/MEC,,,,,,,,,,,,,,,,,,
Nota: 1- Sem Declaração: alunos que não quiseram declarar a Cor-Raça ou alunos que a instituição não possui a informação.,,,,,,,,,,,,,,,,,,
